fecha,tipo_ingreso,linea,ingreso
2022-01-14,Recargas,Línea B,825092
2022-01-14,Recargas,Línea 12,0
2022-01-14,Tarjetas,Línea 1,9945
2022-01-14,Tarjetas,Línea 2,11085
2022-01-14,Tarjetas,Línea 3,9780
2022-01-14,Tarjetas,Línea 4,540
2022-01-14,Tarjetas,Línea 5,2880
2022-01-14,Tarjetas,Línea 6,1110
2022-01-14,Tarjetas,Línea 7,4080
2022-01-14,Tarjetas,Línea 8,5400
2022-01-14,Tarjetas,Línea 9,3735
2022-01-14,Tarjetas,Línea A,3570
2022-01-14,Tarjetas,Línea B,5475
2022-01-14,Tarjetas,Línea 12,0
2022-01-14,QR/Validación,Línea 1,0
2022-01-14,QR/Validación,Línea 2,0
2022-01-14,QR/Validación,Línea 3,0
